Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,2,187.05,0.214847,4.200046,11.85531
0,2,188.05,0.2134737,4.200046,11.83828
0,2,189.05,0.2127108,4.199893,11.83828
0,2,190.05,0.212253,4.199893,11.85531
0,2,191.05,0.212253,4.200198,11.85531
0,2,192.05,0.2121004,4.200046,11.85531
0,2,193.05,0.2105745,4.199893,11.85531
0,2,194.05,0.2104219,4.200046,11.85531
0,2,195.05,0.2104219,4.200046,11.85531
0,2,196.05,0.2099641,4.199893,11.85531
0,2,197.05,0.2095064,4.200046,11.85531
0,2,198.05,0.2090486,4.200046,11.85531
0,2,199.05,0.2079805,4.199893,11.85531
0,2,200.05,0.208896,4.200046,11.85531
0,2,201.05,0.2082856,4.19974,11.85531
0,2,202.05,0.2066072,4.200046,11.83828
0,2,203.05,0.2069123,4.200046,11.83828
0,2,204.05,0.2056916,4.199893,11.83828
0,2,205.05,0.2067598,4.200046,11.83828
0,2,206.05,0.205539,4.200046,11.83828
0,2,207.05,0.2047761,4.200046,11.85531
0,2,208.05,0.2050813,4.200046,11.85531
0,2,209.05,0.2041657,4.200046,11.85531
0,2,210.05,0.2041657,4.200046,11.85531
0,2,211.05,0.2030976,4.200198,11.85531
0,2,212.05,0.2035553,4.199893,11.83828
0,2,213.05,0.2018769,4.199893,11.83828
0,2,214.05,0.2017243,4.199893,11.85531
0,2,215.05,0.2009613,4.199893,11.83828
0,2,216.05,0.2017243,4.200046,11.85531
0,2,217.05,0.199588,4.200046,11.83828
0,2,218.05,0.1998932,4.199893,11.83828
0,2,219.05,0.1989776,4.200046,11.83828
0,2,220.05,0.1992828,4.199893,11.83828
0,2,221.05,0.1992828,4.200046,11.83828
0,2,222.05,0.1983673,4.200046,11.83828
0,2,223.05,0.1976043,4.200046,11.83828
0,2,224.05,0.1972992,4.199893,11.83828
0,2,225.05,0.1971466,4.199893,11.83828
0,2,226.05,0.1966888,4.199893,11.83828
0,2,227.05,0.196231,4.199893,11.83828
0,2,228.05,0.1956207,4.200046,11.83828
0,2,229.05,0.1957732,4.200046,11.83828
0,2,230.05,0.1947051,4.200046,11.83828
0,2,231.05,0.1942474,4.200046,11.83828
0,2,232.05,0.1943999,4.200198,11.83828
0,2,233.05,0.1942474,4.200046,11.82125
0,2,234.05,0.1934844,4.199893,11.82125
0,2,235.05,0.1927214,4.199893,11.82125
0,2,236.05,0.1933318,4.199893,11.82125
0,2,237.05,0.1925689,4.199893,11.83828
0,2,238.05,0.1924163,4.200046,11.83828
0,2,239.05,0.1921111,4.199893,11.83828
